comparison_id	representation_a	representation_b	final_module_id	sample_count	pearson_correlation	spearman_correlation	mean_absolute_score_difference	median_absolute_score_difference	maximum_absolute_score_difference
main_all146_z_vs_primary51_z_within_definite_samples	representative_probe_all146_z	representative_probe_primary51_z	BACT_M1	51	0.999837152029215	0.999276018099547	0.0822546957711127	0.0810610858288121	0.139764008530031
main_all146_z_vs_primary51_z_within_definite_samples	representative_probe_all146_z	representative_probe_primary51_z	BACT_M2	51	0.999525238051392	0.998461538461538	0.158743423698896	0.160156778896034	0.204663949303354
main_all146_z_vs_primary51_z_within_definite_samples	representative_probe_all146_z	representative_probe_primary51_z	VIR_M1a	51	0.999709979500717	0.998733031674208	0.0296647011926108	0.029170524644928	0.0619022289041516
main_all146_z_vs_primary51_z_within_definite_samples	representative_probe_all146_z	representative_probe_primary51_z	VIR_M1b	51	0.999749037628333	0.998733031674208	0.0825777058480785	0.0830427693988169	0.111944004817831
main_all146_z_vs_primary51_z_within_definite_samples	representative_probe_all146_z	representative_probe_primary51_z	VIR_M2	51	0.998397776741227	0.995746606334841	0.0237262987760372	0.0177508187864187	0.0735453120441443
representative_probe_vs_all_probe_mean_all146_samples	representative_probe_all146_z	all_authorized_probe_mean_all146_z	BACT_M1	146	0.996153207668359	0.996811043737287	0.0526675280682844	0.0461325074208732	0.172400179965793
representative_probe_vs_all_probe_mean_all146_samples	representative_probe_all146_z	all_authorized_probe_mean_all146_z	BACT_M2	146	0.987432198189249	0.981371405435107	0.05782868183598	0.0441160155598327	0.269023390501009
representative_probe_vs_all_probe_mean_all146_samples	representative_probe_all146_z	all_authorized_probe_mean_all146_z	VIR_M1a	146	0.997433416355858	0.997161944607791	0.0245623666013124	0.0204190424307786	0.118446078294089
representative_probe_vs_all_probe_mean_all146_samples	representative_probe_all146_z	all_authorized_probe_mean_all146_z	VIR_M1b	146	0.995974840680863	0.996155514638543	0.0446342988504506	0.0356336878399037	0.289518731048663
representative_probe_vs_all_probe_mean_all146_samples	representative_probe_all146_z	all_authorized_probe_mean_all146_z	VIR_M2	146	0.994203329308069	0.994258336305708	0.0251762265958655	0.0213263207026288	0.0909898665148224
