file_label	file_path	size_bytes	sha256	n_feature_rows	n_header_columns_total	n_identifier_columns_assumed	n_expression_sample_columns	n_detection_pval_columns	expression_detection_pairs_complete	n_expression_without_detection	n_detection_without_expression	n_preview_ids	first_col_ilmn_like_n	first_col_numeric_like_n	second_col_numeric_like_n	example_first_col_ids	example_second_col_ids
normalized	data/expression_raw/GSE73461/GSE73461_GEOupload_Discovery_Dataset_Normalised_Sept_15_n_459.txt.gz	143582247	af0a63c2e6e408ec9acd17fc87db9fac016673962aa7907d19d155339b4e759b	47323	919	1	459	459	True	0	0	1000	0	1000	0	6450255;2570615;6370619;2600039;2650615;5340672;2000519;3870044;7050209;1580181	1.056382;35.20401;3.072594;-6.239761;13.09677;-3.6856;-2.164848;-28.5632;-6.644271;2.91282
raw	data/expression_raw/GSE73461/GSE73461_GEOupload_Discovery_Dataset_Raw_Sept_15_n_459.txt.gz	138797790	015028c1853dd1fdefc1c6abbb47e40be2dfe7b0b757e6a0c681036ad77495b6	47323	920	2	459	459	True	0	0	1000	1000	0	1000	ILMN_1762337;ILMN_2055271;ILMN_1736007;ILMN_2383229;ILMN_1806310;ILMN_1779670;ILMN_1653355;ILMN_1717783;ILMN_1705025;ILMN_1814316	6450255;2570615;6370619;2600039;2650615;5340672;2000519;3870044;7050209;1580181
