scoring_population	final_module_id	n_compared	pearson_correlation	spearman_correlation	gsva_mean	gsva_sd	mean_z_mean	mean_z_sd	expected_n_compared	sample_count_match
main_all_projected_reference	BACT_M1	201	0.644991849107483	0.671869366041082	0.0126069458351937	0.492308382375794	-1.54738844388516e-17	0.828577036070285	201	TRUE
main_all_projected_reference	BACT_M2	201	0.658789957097892	0.677583862863898	-0.0127035051684019	0.405858134208578	-6.84956859059201e-17	0.686858172706654	201	TRUE
main_all_projected_reference	VIR_M1a	201	0.403602336566445	0.315251958031624	-0.00481042633430833	0.299936065366792	-7.29928324544548e-17	0.552156341546696	201	TRUE
main_all_projected_reference	VIR_M1b	201	0.645946944957016	0.624278114378602	-0.0200533333158331	0.380781266093077	-3.57414528114736e-17	0.689047520433443	201	TRUE
main_all_projected_reference	VIR_M2	201	-0.0140678170058503	-0.00940741835377568	-0.00177950502188355	0.188333840455341	3.76245124055766e-17	0.470770805028247	201	TRUE
primary_only_reference	BACT_M1	146	0.619159391761535	0.675011809163911	0.019115717951384	0.525656165644289	4.48198781646319e-17	0.82612985346873	146	TRUE
primary_only_reference	BACT_M2	146	0.640370448843807	0.671872981596985	-0.00332367371282922	0.428645858977303	-5.51992574556113e-17	0.678798845541219	146	TRUE
primary_only_reference	VIR_M1a	146	0.443164908959239	0.414076523382145	-0.004330079070451	0.316997972887492	3.68754981363786e-17	0.552866398387412	146	TRUE
primary_only_reference	VIR_M1b	146	0.663125321276919	0.652141555724794	-0.0174535947400721	0.372640724580389	4.01006282974091e-18	0.675985604294325	146	TRUE
primary_only_reference	VIR_M2	146	0.0395114852313477	0.0522630214107372	-0.000855539616800937	0.165537309927942	-9.19566815197808e-18	0.478076866692996	146	TRUE
