metric	value
GSVA_version	1.50.5
BiocParallel_version	1.36.0
GSVA_interface	modern_parameter_object_api
GSVA_kcdf	Gaussian
GSVA_minSize	1
GSVA_maxSize	Inf
GSVA_tau	1
GSVA_maxDiff	TRUE
GSVA_absRanking	FALSE
GSVA_parallel_mode	BiocParallel_SerialParam
locked_module_count	5
main_sample_count	201
primary_only_sample_count	146
main_score_matrix_rows	5
main_score_matrix_columns	201
primary_score_matrix_rows	5
primary_score_matrix_columns	146
combined_score_rows	1735
coverage_rows	10
effect_rows	10
correlation_rows	10
expected_direction_matches	10/10
