category	label	n
discovery_group	bacterial	7
discovery_group	noninfection_contextual	4
discovery_group	viral	7
site	Sri_Lanka	9
site	United_States	9
sequencing_batch	1	8
sequencing_batch	2	10
pathogen	Enterobacter	1
pathogen	Influenza_A_B	6
pathogen	Leptospira	3
pathogen	Noninfection	4
pathogen	RespVirus_other	1
pathogen	Staphylococcus	1
pathogen	Streptococcus	2
outlier_flag	mean_expression	12
outlier_flag	sd_expression	10
outlier_flag	detected_features	4
