V1	V2	N
viral	Coxiella_burnetii	0
bacterial	Coxiella_burnetii	3
viral	Dengue	43
bacterial	Dengue	0
viral	Enterobacter	0
bacterial	Enterobacter	17
viral	Influenza_A_B	67
bacterial	Influenza_A_B	0
viral	Leptospira	0
bacterial	Leptospira	30
viral	RespVirus_other	13
bacterial	RespVirus_other	0
viral	Rickettsia	0
bacterial	Rickettsia	27
viral	Staphylococcus	0
bacterial	Staphylococcus	10
viral	Streptococcus	0
bacterial	Streptococcus	14
