covariate	n_nonmissing	n_total	pct_nonmissing
age_numeric	224	224	100
gender	224	224	100
race	83	224	37.05
site	224	224	100
sequencing_batch	224	224	100
platform_id	224	224	100
instrument_model	224	224	100
pathogen	224	224	100
